setores,historico_estimativa,historico_inf,Erro negativo,historico_sup,Erro positivo,depois_estimativa,depois_inf,depois_sup,antes_estimativa,antes_inf,antes_sup,beta_estimativa,beta_inf,beta_sup
Capital goods,0.962079651,0.927105672,0.034973979,0.980443745,0.018364094,0.817064173,0.512693863,0.938992627,0.882695438,0.731358879,0.951181773,0.999119932,0.998278266,0.999550244
Chemicals,0.955061873,0.913899418,0.041162455,0.976784329,0.021722456,0.849494974,0.586813543,0.950398048,0.890694634,0.748298281,0.954623331,0.992455044,0.985286235,0.996137876
Consumer goods,0.959140979,0.921565007,0.037575972,0.97891292,0.019771941,0.781045795,0.435369578,0.92600321,0.907116614,0.783665954,0.961635586,0.998170356,0.996422176,0.999064748
Food Products,0.959953153,0.923094776,0.036858377,0.979336223,0.019383071,0.877510359,0.654593393,0.960036921,0.867783042,0.700270604,0.944720096,0.995609898,0.991425761,0.997754523
Fuels,0.929406662,0.86635098,0.063055682,0.963297675,0.033891013,0.385673861,-0.173075721,0.75661578,0.894326368,0.756050767,0.956180226,0.960189466,0.923540102,0.979459357
Intermediate goods,0.952114675,0.908379155,0.04373552,0.975243725,0.023129051,0.743570462,0.359990166,0.912113943,0.853441113,0.670959188,0.938448715,0.996942547,0.994024733,0.998436665
Mach and Elec,0.965423787,0.933429462,0.031994325,0.982183087,0.0167593,0.846060491,0.578750036,0.949202904,0.886471567,0.739332154,0.952808532,0.998941134,0.99792865,0.999458846
Metals,0.937904866,0.881975647,0.055929219,0.967784116,0.02987925,0.587659623,0.09227672,0.849854059,0.822536854,0.609679161,0.924741808,0.986012433,0.972805753,0.992828704
Plastic or Rubber,0.951046683,0.906382504,0.044664179,0.974684894,0.023638211,0.877817481,0.655356844,0.960141515,0.897062983,0.761918232,0.957351084,0.989476924,0.979507569,0.994609499
Raw materials,0.94636647,0.897656138,0.048710332,0.972232463,0.025865993,0.713596556,0.303100764,0.900719196,0.814486675,0.594123543,0.921127265,0.986690407,0.974115508,0.99317743
Stone and Glass,0.863891975,0.749902496,0.11398948,0.9280631,0.064171124,0.482224311,-0.055607636,0.803149253,0.901353672,0.771162598,0.959182873,0.941037558,0.887766548,0.96943318
Textiles and Clothing,0.952682572,0.909441672,0.0432409,0.97554076,0.022858188,0.624339926,0.149415457,0.865190939,0.885876578,0.738073093,0.952552463,0.996015445,0.992216321,0.997962157
Transportation,0.937445008,0.881127001,0.056318007,0.967541829,0.030096821,0.522848151,-0.001292145,0.821624001,0.86381565,0.692105311,0.942990865,0.98910448,0.978786042,0.994418203
Vegetable,0.931060102,0.869381329,0.061678773,0.964172058,0.033111956,0.958053653,0.871699591,0.986699152,0.716383075,0.416933635,0.875549702,0.964364663,0.931424497,0.981632529
Wood,0.963640894,0.93005552,0.033585374,0.981256131,0.017615237,0.886198548,0.676367604,0.9629869,0.878689203,0.722944726,0.949451713,0.995927847,0.992045535,0.997917312
All Products,0.960990511,0.925050389,0.035940122,0.979876645,0.018886134,0.803595796,0.483190196,0.93417586,0.886823488,0.74007734,0.952959946,1,1,1
Other Categories,0.962545665,0.927985717,0.034559949,0.980686299,0.018140634,0.839567236,0.563646622,0.946935196,0.919235542,0.810289806,0.966765133,0.996624883,0.993404915,0.998274103
