"setores","historico_estimativa","historico_inf","historico_sup","depois_estimativa","depois_inf","depois_sup","antes_estimativa","antes_inf","antes_sup","beta_estimativa","beta_inf","beta_sup"
"Capital goods",0.719538429658682,0.521003760035266,0.844212669702873,0.0225050817014286,-0.507260864740187,0.539926928848783,0.787192264327274,0.554184390741345,0.905798767737083,0.806916641893713,0.65793112981935,0.895117615458988
"Chemicals",0.951874374132101,0.909114051522963,0.974782418176397,0.0687291868549461,-0.472050793948405,0.571926592173648,0.949664798035068,0.882895223005752,0.978793173856455,0.976024411753101,0.954218457789216,0.987510471312027
"Consumer goods",0.944409361162988,0.895371808222661,0.970817663159082,0.517973494216226,-0.00797721110893688,0.81943977640899,0.940447174770464,0.862313922417168,0.974840844836997,0.990793716986008,0.982300221514959,0.995221310711918
"Food Products",0.81440912013853,0.670149529734917,0.899378104050828,0.799811364830353,0.47502899337437,0.932813794711473,-0.235672837099198,-0.591384883043118,0.19681605365427,0.874710473881902,0.771418033835893,0.933089811823776
"Fuels",0.866568983586715,0.757432925959543,0.928597406557876,0.590791495212059,0.0970312474784946,0.851181139482021,0.683828182647524,0.377090991819763,0.855382069015174,0.923448319660681,0.85727783547676,0.959607297331492
"Intermediate goods",0.897522563710199,0.811142488190165,0.945581033995131,-0.0789832407233421,-0.578823536904954,0.463998987823364,0.85739730586796,0.687831789826916,0.938228065197935,0.98428140899057,0.969870742994537,0.991828122103914
"Mach and Elec",0.673472398586392,0.452707163240093,0.816438460340257,-0.183655074556688,-0.645360391625534,0.376333106563059,0.760678098411699,0.506653150003037,0.893178783582711,0.765796554517471,0.592242342790792,0.871444897854875
"Metals",0.865704501699106,0.755953813542647,0.928119322636576,-0.342552415838522,-0.734543827346135,0.220862028694583,0.83858210278324,0.650849457474214,0.929673985388486,0.963214428505256,0.930169436549352,0.98077770806993
"Plastic or Rubber",0.961026408677078,0.926089885233629,0.979623516025999,0.406817983929128,-0.148641916991288,0.767138201727119,0.964104644641886,0.915660918609142,0.984941395373894,0.988804814383331,0.978496225187039,0.994186141089099
"Raw materials",0.846339817925819,0.723112317598334,0.917355855141053,0.270750553593151,-0.294850191814998,0.695854107685938,0.366727941804255,-0.0549129890344958,0.67737262718787,0.928894577855278,0.867106522949675,0.962531143207272
"Stone and Glass",0.900315543134955,0.816061508106102,0.947100715107291,0.134797112856356,-0.418540311492426,0.615150876056564,0.818714659844733,0.612742568731115,0.92053361821987,0.974083132398767,0.950555751341768,0.986492849557514
"Textiles and Clothing",0.241439742966251,-0.0824805039376161,0.519221366475026,0.0376825913671772,-0.495891560983515,0.55060145189624,0.504324278336678,0.114972311413047,0.759356838946744,0.362374224184542,0.0506023457776656,0.609790046677601
"Transportation",0.609839183167029,0.36244217696515,0.776952830643239,0.67911092467308,0.241078203918255,0.887282799587546,0.551663925790294,0.179208093742907,0.785807583106085,0.567120294510251,0.304341031494351,0.749686239156176
"Vegetable",0.828920205133653,0.694038023044132,0.907583974549222,-0.152600907550903,-0.626325000426172,0.403431951242233,0.340364046858552,-0.08489655659094,0.660730954784045,0.91880032432946,0.848927719089527,0.957105809522479
"Wood",0.628327742930707,0.388198795721978,0.788562462143471,-0.167904388643752,-0.635776767813295,0.390198447897951,0.150075499575429,-0.280650407034688,0.530487473405078,0.819735876841917,0.678883981805855,0.902397302018321
"All Products",0.941552426210043,0.890137110669205,0.96929648270359,0.4330975500499,-0.117298002672522,0.779951498254701,0.898405202064924,0.771605254613007,0.95653559719949,1,1,1
"Other Categories",0.848175551641475,0.726201904017968,0.918380685550283,-0.0389843647950986,-0.55150926006187,0.494907824448715,0.874551552813417,0.722334459776967,0.94594185146847,0.899419047306756,0.81448126048256,0.946613153509047
