"","relationship_indicator_id","relationship_indicator_name"
"1",0,""
"2",2,"All Products Import Trade (US$ Mil)-Top 5 Import Partner"
"3",3,"All Products Export Trade (US$ Mil)-Top 5 Export Partner"
"4",4,"All Products Tariff Duty Free Imports (US$ Thousand)"
"5",5,"Animal Export Export(US$ Mil)"
"6",6,"Capital goods Export Export(US$ Mil)"
"7",7,"Chemicals Export Export(US$ Mil)"
"8",8,"Consumer goods Export Export(US$ Mil)"
"9",9,"Food Products Export Export(US$ Mil)"
"10",10,"Footwear Export Export(US$ Mil)"
"11",11,"Fuels Export Export(US$ Mil)"
"12",12,"Hides and Skins Export Export(US$ Mil)"
"13",13,"Intermediate goods Export Export(US$ Mil)"
"14",14,"Mach and Elec Export Export(US$ Mil)"
"15",15,"Metals Export Export(US$ Mil)"
"16",16,"Minerals Export Export(US$ Mil)"
"17",17,"Miscellaneous Export Export(US$ Mil)"
"18",18,"Plastic or Rubber Export Export(US$ Mil)"
"19",19,"Raw materials Export Export(US$ Mil)"
"20",20,"Stone and Glass Export Export(US$ Mil)"
"21",21,"Textiles and Clothing Export Export(US$ Mil)"
"22",22,"Transportation Export Export(US$ Mil)"
"23",23,"Vegetable Export Export(US$ Mil)"
"24",24,"Wood Export Export(US$ Mil)"
"25",25,"All Products Export Exports (in US$ Mil)"
"26",26,"Capital goods Import Import(US$ Mil)"
"27",27,"Consumer goods Import Import(US$ Mil)"
"28",28,"Intermediate goods Import Import(US$ Mil)"
"29",29,"Raw materials Import Import(US$ Mil)"
"30",30,"All Products Import Imports (in US$ Mil)"
"31",31,"All Products Import Partner share(%)-Top 5 Import Partner"
"32",32,"All Products Export Partner share(%)-Top 5 Export Partner"
"33",33,"All Products Trade Indicator Country Growth (%)"
"34",34,"All Products Tariff Duty Free Tariff Lines Share (%)"
"35",35,"Animal Export Export Product share(%)"
"36",36,"Capital goods Export Export Product share(%)"
"37",37,"Chemicals Export Export Product share(%)"
"38",38,"Consumer goods Export Export Product share(%)"
"39",39,"Food Products Export Export Product share(%)"
"40",40,"Footwear Export Export Product share(%)"
"41",41,"Fuels Export Export Product share(%)"
"42",42,"Hides and Skins Export Export Product share(%)"
"43",43,"Intermediate goods Export Export Product share(%)"
"44",44,"Mach and Elec Export Export Product share(%)"
"45",45,"Metals Export Export Product share(%)"
"46",46,"Minerals Export Export Product share(%)"
"47",47,"Miscellaneous Export Export Product share(%)"
"48",48,"Plastic or Rubber Export Export Product share(%)"
"49",49,"Raw materials Export Export Product share(%)"
"50",50,"Stone and Glass Export Export Product share(%)"
"51",51,"Textiles and Clothing Export Export Product share(%)"
"52",52,"Transportation Export Export Product share(%)"
"53",53,"Vegetable Export Export Product share(%)"
"54",54,"Wood Export Export Product share(%)"
"55",55,"Capital goods Import Import Product share(%)"
"56",56,"Consumer goods Import Import Product share(%)"
"57",57,"Intermediate goods Import Import Product share(%)"
"58",58,"Raw materials Import Import Product share(%)"
"59",59,"All Products Tariff Maximum Rate (%)"
"60",60,"All Products Tariff Simple Average (%)"
"61",61,"All Products Tariff Weighted Average (%)"
"62",62,"Capital goods Tariff Weighted Average (%)"
"63",63,"Consumer goods Tariff Weighted Average (%)"
"64",64,"Intermediate goods Tariff Weighted Average (%)"
"65",65,"Raw materials Tariff Weighted Average (%)"
"66",66,"All Products Trade Indicator World Growth (%)"
