Product categories;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988
Animal;         389248.87;         384558.69;         350548.87;         342993.05;         404782.78;         382663.45;         352318.92;         357829.20;         295539.61;         257548.87;         288803.52;         245523.63;         211147.37;         197608.93;         180769.87;         156256.31;         137108.33;         134180.66;         129845.25;         114315.17;         114579.09;         119599.86;         120078.62;         118121.65;          98600.71;          75928.66;          70666.56;          46741.89;          35178.33;          30765.22;          14078.31
Capital goods;        6860865.39;        6427660.47;        5851135.90;        5926295.86;        6334831.38;        6198395.34;        6028607.09;        5949534.98;        5222014.20;        4318696.70;        5456601.31;        5002378.44;        4344497.79;        3770388.97;        3461257.76;        2840713.81;        2503965.22;        2427089.30;        2573994.43;        1989558.73;        1885010.74;        1839037.07;        1672499.98;        1581359.51;        1280038.07;         951551.10;         821502.73;         679259.49;         460570.28;         406410.12;         299762.15
Chemicals;        2083648.88;        1866169.74;        1720070.95;        1732774.96;        1901048.98;        1874632.44;        1826420.57;        1841498.90;        1595852.82;        1389420.03;        1554966.07;        1365432.27;        1174389.04;        1045130.74;         946833.34;         788681.88;         661949.55;         587674.23;         558159.51;         435372.32;         418968.96;         404883.33;         382873.84;         365007.30;         281977.22;         202005.62;         176958.24;         135646.97;          93565.36;          82055.11;          61830.00
Consumer goods;        6520905.42;        6213213.80;        5708482.27;        5943930.08;        6842823.86;        6728951.98;        6305926.22;        6208614.16;        5183817.71;        4351506.24;        5515961.15;        4776165.10;        4121347.69;        3610169.81;        3175594.93;        2679385.07;        2293329.27;        2125342.86;        2106604.21;        1630166.94;        1592525.17;        1590366.67;        1473367.87;        1382796.61;        1146523.08;         842779.56;         711461.64;         512796.02;         409443.07;         351264.67;         239574.78
Food Products;         698443.72;         669164.75;         617545.79;         599524.37;         658302.69;         650410.46;         610960.55;         590217.69;         499752.62;         452951.35;         480641.39;         413840.07;         356899.67;         315790.74;         290046.41;         255421.01;         220502.36;         203702.31;         192454.78;         169572.55;         173838.00;         182497.24;         184644.24;         168400.43;         137404.72;          97478.28;          82613.83;          54163.78;          36748.78;          30886.64;          12913.26
Footwear;         159755.55;         168165.46;         158584.56;         164809.77;         173265.77;         159473.82;         145533.71;         140974.60;         118389.62;         100813.96;         113292.22;         101831.46;          90542.30;          81388.90;          75117.98;          67428.95;          61157.25;          59472.10;          58626.50;          50209.48;          51046.88;          54551.38;          52652.82;          49820.12;          45070.33;          31882.48;          21794.34;          14702.99;          13427.14;          10980.56;           6834.14
Fuels;        2291858.65;        1941448.63;        1526429.25;        1739500.51;        3024688.76;        3347352.42;        3204086.63;        3237639.46;        2367357.25;        1687695.46;        2655213.89;        1830977.27;        1697574.50;        1295784.85;         966744.12;         746270.75;         600139.91;         589810.16;         637679.84;         359845.08;         278072.43;         329680.34;         356524.91;         248613.71;         221088.32;         194884.94;         173800.50;         137567.60;          76998.51;          53492.31;          11507.10
Hides and Skins;         131644.78;         130231.04;         122886.03;         133187.30;         144246.28;         146181.91;         131753.22;         127160.16;         104610.80;          80679.10;          99811.06;          94631.83;          86899.50;          79783.87;          75023.01;          65660.06;          58385.67;          58573.87;          56054.63;          42184.38;          43716.03;          48213.61;          46461.48;          44363.63;          38868.09;          26870.08;          19722.81;          14189.16;          12387.45;          11981.73;           7678.75
Intermediate goods;        4329207.22;        4018362.12;        3654407.47;        3788290.34;        4278809.41;        4446929.80;        4209008.25;        4208376.04;        3434158.32;        2766166.74;        3635311.48;        3210906.05;        2713872.10;        2322685.60;        2069034.81;        1673972.11;        1423182.11;        1344021.04;        1375216.76;        1119569.58;        1141152.08;        1163260.47;        1106580.24;        1082925.55;         823230.68;         608517.11;         539198.00;         426047.46;         326922.75;         299276.36;         190383.36
Mach and Elec;        5435462.66;        5078853.50;        4598939.03;        4671766.26;        5010680.15;        4892625.62;        4754842.49;        4764449.24;        4238772.46;        3528430.09;        4396865.17;        4075705.00;        3547372.72;        3089733.36;        2842986.51;        2309124.47;        2046840.30;        2001903.65;        2158179.51;        1657900.68;        1557270.92;        1544249.62;        1404468.34;        1328012.52;        1056576.44;         780626.85;         651291.71;         532984.45;         376844.51;         329657.39;         249046.56
Metals;        1410482.10;        1284551.07;        1100822.33;        1184076.91;        1391028.02;        1358892.09;        1388221.75;        1467917.69;        1214613.47;         946131.92;        1455592.80;        1290276.63;        1060949.33;         838959.16;         724428.20;         525574.54;         438808.44;         413088.57;         431755.09;         351357.57;         367791.84;         377643.85;         352191.85;         348764.39;         253903.37;         180761.48;         163752.53;         131677.74;         112350.82;         106564.81;          69844.28
Minerals;         256103.74;         245960.84;         195515.67;         197214.65;         266258.50;         288634.71;         272045.91;         301081.91;         229655.73;         147459.75;         189462.94;         154752.54;         127488.18;          99380.65;          70972.50;          50951.72;          44428.08;          42534.96;          43788.78;          37550.89;          40211.34;          42104.29;          40254.98;          37704.20;          28151.34;          23604.07;          24946.97;          20528.46;          17884.13;          15412.54;           5489.40
Miscellaneous;        1869621.85;        1759036.79;        1684654.94;        1789181.74;        1891420.94;        1848110.08;        1763795.29;        1751648.88;        1562346.64;        1470532.44;        1659847.24;        1444415.76;        1295699.09;        1187878.15;        1053722.59;         891702.38;         713209.81;         654762.14;         669865.56;         462728.97;         435159.93;         448352.23;         417902.96;         393539.12;         317827.06;         257836.10;         209415.11;         159017.09;         107952.01;          88731.48;          69797.62
Plastic or Rubber;         917507.97;         866145.74;         776578.75;         779197.90;         885416.69;         882911.54;         855795.59;         871652.99;         717734.59;         565469.37;         685960.20;         640178.26;         551902.88;         481681.29;         419832.45;         340591.18;         286562.78;         266892.45;         273949.51;         226631.94;         223497.15;         221938.35;         207676.47;         206879.49;         151744.04;         106421.88;          95392.16;          72334.12;          53376.44;          47355.10;          32144.08
Raw materials;        2062791.13;        1890669.17;        1737362.53;        1770920.85;        2662253.01;        2929265.86;        2810823.52;        2883661.38;        2181419.82;        1595853.35;        2310531.76;        1740707.97;        1506930.49;        1237931.05;         979003.91;         807381.27;         678592.32;         641844.29;         672105.49;         479559.54;         440896.63;         486964.76;         514583.52;         442711.85;         366442.55;         295969.91;         277003.76;         222513.38;         130918.93;         107456.10;          35998.60
Stone and Glass;         913146.91;         899665.63;         889458.59;         909050.77;        1002532.41;        1197392.50;        1022364.66;         898698.53;         644956.91;         496528.87;         581779.81;         495289.21;         419319.70;         359203.82;         321800.09;         266624.20;         232873.39;         215428.86;         221759.77;         164688.72;         164891.19;         160839.07;         156577.33;         145870.91;         109958.17;          79317.94;          59897.06;          48448.31;          37438.19;          32483.19;          22702.45
Textiles and Clothing;         787803.40;         793156.18;         760874.95;         812149.41;         847945.82;         843631.51;         785578.53;         803370.96;         682779.76;         592786.75;         690716.89;         659694.78;         595435.11;         541947.00;         514783.15;         459572.98;         399177.44;         380577.87;         391159.41;         335503.45;         342660.26;         354553.88;         313350.84;         303892.91;         259795.27;         190012.57;         153638.08;         104392.90;          85318.24;          75465.73;          52079.36
Transportation;        2393534.35;        2294423.09;        2161095.09;        2031241.20;        2130012.98;        2059901.09;        1998429.23;        1969945.94;        1681672.10;        1338051.88;        1882583.47;        1737058.68;        1488256.66;        1285398.98;        1176891.74;        1035035.87;         906476.72;         839725.94;         827340.25;         698056.72;         682222.02;         630083.98;         586808.69;         551316.94;         471329.89;         367530.40;         348509.42;         292130.81;         209505.09;         185374.69;         132650.52
Vegetable;         612654.10;         629693.51;         582412.06;         573333.93;         631861.79;         627070.85;         604577.48;         596356.16;         472117.66;         409861.50;         483492.49;         365913.12;         285718.03;         255844.32;         240240.42;         214150.09;         180211.91;         164733.37;         161875.32;         159851.10;         170353.11;         174580.01;         171833.53;         161604.74;         131820.14;          95431.92;          92307.92;          66751.38;          40943.67;          37146.85;           9656.27
Wood;         483772.82;         450206.87;         422097.39;         424795.71;         470693.08;         461982.02;         440952.19;         466229.29;         415177.32;         361584.08;         441313.86;         421372.53;         372372.81;         340463.75;         323732.50;         279024.34;         245718.80;         234498.35;         245969.78;         204905.69;         199996.28;         204038.89;         202700.24;         211097.87;         161395.33;         121532.58;         112954.26;          87043.92;          68261.38;          62518.90;          26990.87
